seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
431,80000,D,4700,4750,10300,True,40,0.7712,0.0398,6,1214
432,80000,D,3550,3900,4700,True,36,0.8803,0.0420,5,1193
433,80000,D,4100,4150,5550,True,41,0.6873,0.0396,4,1199
434,80000,B,3750,-1,-1,True,14,0.0000,0.1838,17,1061
435,80000,D,4450,4500,5700,True,39,0.7459,0.0430,7,1208
436,80000,C,4400,4450,-1,True,39,0.7818,0.0408,4,1217
437,80000,D,4900,4950,5800,True,39,0.7262,0.0424,5,1215
438,80000,D,3900,3950,5650,True,38,0.8520,0.0397,4,1216
439,80000,D,3550,3700,4850,True,39,0.8095,0.0426,5,1208
440,80000,D,4100,4150,5500,True,39,0.7487,0.0401,4,1198
441,80000,C,4800,4850,-1,True,39,0.7614,0.0443,3,1219
442,80000,D,3850,3900,5500,True,38,0.7867,0.0394,4,1207
443,80000,B,3600,-1,-1,True,11,0.0000,0.2006,20,1068
444,80000,D,3600,3650,5000,True,38,0.7671,0.0405,7,1201
445,80000,D,4850,4900,6250,True,39,0.7792,0.0440,5,1199
446,80000,D,4350,4400,5550,True,40,0.6977,0.0411,4,1206
447,80000,D,3700,3750,5300,True,39,0.7535,0.0437,4,1207
448,80000,D,3700,3750,5350,True,38,0.7774,0.0425,5,1200
449,80000,D,5000,5050,6100,True,37,0.8398,0.0404,5,1210
450,80000,C,4900,4950,-1,True,40,0.7453,0.0396,4,1211
451,80000,D,4400,4450,5950,True,40,0.6920,0.0411,5,1211
452,80000,D,3950,4000,5500,True,38,0.7782,0.0407,4,1204
453,80000,D,4100,4150,5650,True,37,0.7799,0.0418,5,1201
454,80000,C,4750,4800,-1,True,43,0.6917,0.0420,4,1211
455,80000,C,9450,9500,-1,True,43,0.6713,0.0433,3,1215
456,80000,D,4250,4300,5900,True,38,0.8502,0.0427,4,1207
457,80000,D,4150,4200,5800,True,41,0.6769,0.0423,4,1211
458,80000,D,4100,4150,5650,True,36,0.8199,0.0412,4,1205
459,80000,D,4300,4350,5600,True,37,0.7621,0.0401,4,1209
460,80000,D,4200,4250,5950,True,39,0.7173,0.0401,4,1221
461,80000,C,5250,5300,-1,True,37,0.8516,0.0395,3,1216
462,80000,D,4200,4250,5750,True,41,0.7535,0.0382,5,1214
463,80000,D,3800,3850,4950,True,41,0.7303,0.0404,6,1212
464,80000,D,3550,3950,4550,True,39,0.7753,0.0432,6,1199
465,80000,D,4250,4300,5950,True,37,0.8266,0.0400,5,1192
466,80000,D,3700,3750,5300,True,39,0.7338,0.0449,5,1206
467,80000,D,3550,3600,5750,True,38,0.7738,0.0401,5,1208
468,80000,D,8600,8650,16400,True,39,0.7368,0.0399,4,1199
469,80000,D,4250,4300,6300,True,38,0.8175,0.0420,4,1202
470,80000,C,5650,5700,-1,True,41,0.7313,0.0429,3,1211
471,80000,D,3750,3800,5150,True,35,0.9459,0.0426,5,1205
472,80000,D,4400,4450,5850,True,36,0.7727,0.0441,4,1211
473,80000,D,4300,4350,6150,True,36,0.8357,0.0417,4,1199
474,80000,C,5150,5200,-1,True,35,0.8873,0.0416,3,1199
475,80000,D,3750,3800,5100,True,40,0.7150,0.0417,5,1205
476,80000,C,4850,4900,-1,True,39,0.7729,0.0424,4,1215
477,80000,D,4450,4500,5750,True,39,0.7651,0.0406,5,1216
478,80000,D,4600,4650,12650,True,41,0.7123,0.0419,4,1201
479,80000,D,4150,4200,7350,True,38,0.8333,0.0407,7,1212
480,80000,D,4150,4200,5900,True,38,0.7274,0.0388,4,1204
481,80000,D,4200,4250,5800,True,39,0.7318,0.0387,4,1208
482,80000,D,3800,3850,4850,True,40,0.6963,0.0392,5,1207
483,80000,D,4800,4850,25450,True,39,0.7981,0.0422,4,1218
484,80000,C,4850,4900,-1,True,38,0.8084,0.0401,4,1210
485,80000,D,3650,3700,5700,True,40,0.7404,0.0411,5,1203
486,80000,C,4900,4950,-1,True,39,0.8041,0.0411,4,1219
487,80000,D,3500,3550,5700,True,38,0.7596,0.0402,5,1206
488,80000,C,5100,5150,-1,True,37,0.8506,0.0392,3,1199
489,80000,D,3900,3950,5700,True,39,0.7219,0.0403,4,1203
